epoch,quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
1,features.2.conv.0.0.weight_quantizer,weight,8,-0.4924,7,,41.88,0.0
1,features.2.conv.0.0.bias_quantizer,weight,8,4.0719,2,,37.18,0.0
1,features.2.conv.0.0.act_quantizer,act,8,3.5029,3,"(0.0, None)",,
1,features.2.conv.1.0.weight_quantizer,weight,8,0.0059,6,,39.31,0.0
1,features.2.conv.1.0.bias_quantizer,weight,8,6.052,0,,32.33,0.0
1,features.2.conv.1.0.act_quantizer,act,8,4.5593,2,"(0.0, None)",,
1,features.2.conv.2.weight_quantizer,weight,8,0.0372,6,,35.85,0.0
1,features.2.conv.2.bias_quantizer,weight,8,5.6428,1,,38.18,0.0
1,features.2.conv.2.act_quantizer,act,8,5.4188,1,,,
1,features.3.conv.0.0.weight_quantizer,weight,8,-0.2675,7,,38.72,0.0
1,features.3.conv.0.0.bias_quantizer,weight,8,5.1391,1,,38.07,0.0
1,features.3.conv.0.0.act_quantizer,act,8,6.1174,0,"(0.0, None)",,
1,features.3.conv.1.0.weight_quantizer,weight,8,-0.0063,7,,41.73,0.00077
1,features.3.conv.1.0.bias_quantizer,weight,8,4.9513,2,,11.83,0.00694
1,features.3.conv.1.0.act_quantizer,act,8,5.8177,1,"(0.0, None)",,
1,features.3.conv.2.weight_quantizer,weight,8,-0.0,7,,40.19,0.00029
1,features.3.conv.2.bias_quantizer,weight,8,4.6384,2,,42.05,0.0
1,features.3.conv.2.act_quantizer,act,8,5.5154,1,,,
1,features.4.conv.0.0.weight_quantizer,weight,8,-0.2148,7,,35.28,0.0
1,features.4.conv.0.0.bias_quantizer,weight,8,4.1985,2,,36.61,0.0
1,features.4.conv.0.0.act_quantizer,act,8,5.1992,1,"(0.0, None)",,
1,features.4.conv.1.0.weight_quantizer,weight,8,-0.5468,7,,41.24,0.0
1,features.4.conv.1.0.bias_quantizer,weight,8,4.9951,2,,37.74,0.0
1,features.4.conv.1.0.act_quantizer,act,8,4.0,2,"(0.0, None)",,
1,features.4.conv.2.weight_quantizer,weight,8,-0.9995,7,,36.84,0.0
1,features.4.conv.2.bias_quantizer,weight,8,4.8297,2,,42.78,0.0
1,features.4.conv.2.act_quantizer,act,8,5.4363,1,,,
1,features.5.conv.0.0.weight_quantizer,weight,8,-0.1109,7,,36.94,0.0
1,features.5.conv.0.0.bias_quantizer,weight,8,5.8769,1,,37.15,0.0
1,features.5.conv.0.0.act_quantizer,act,8,5.1619,1,"(0.0, None)",,
1,features.5.conv.1.0.weight_quantizer,weight,8,0.0534,6,,34.06,0.0
1,features.5.conv.1.0.bias_quantizer,weight,8,5.771,1,,31.55,0.00521
1,features.5.conv.1.0.act_quantizer,act,8,5.1676,1,"(0.0, None)",,
1,features.5.conv.2.weight_quantizer,weight,8,0.4731,6,,31.75,0.0
1,features.5.conv.2.bias_quantizer,weight,8,4.1699,2,,39.08,0.0
1,features.5.conv.2.act_quantizer,act,8,5.7362,1,,,
1,features.6.conv.0.0.weight_quantizer,weight,8,0.7887,6,,30.68,0.0
1,features.6.conv.0.0.bias_quantizer,weight,8,5.6202,1,,35.66,0.0
1,features.6.conv.0.0.act_quantizer,act,8,6.3514,0,"(0.0, None)",,
1,features.6.conv.1.0.weight_quantizer,weight,8,0.3961,6,,34.53,0.0
1,features.6.conv.1.0.bias_quantizer,weight,8,5.4851,1,,35.05,0.0
1,features.6.conv.1.0.act_quantizer,act,8,6.677,0,"(0.0, None)",,
1,features.6.conv.2.weight_quantizer,weight,8,0.0705,6,,31.17,0.0
1,features.6.conv.2.bias_quantizer,weight,8,5.0518,1,,36.11,0.0
1,features.6.conv.2.act_quantizer,act,8,6.5805,0,,,
1,features.7.conv.0.0.weight_quantizer,weight,8,-1.0283,8,,39.89,0.0
1,features.7.conv.0.0.bias_quantizer,weight,8,4.4454,2,,35.09,0.0
1,features.7.conv.0.0.act_quantizer,act,8,4.7538,2,"(0.0, None)",,
1,features.7.conv.1.0.weight_quantizer,weight,8,-0.0294,7,,40.01,0.0
1,features.7.conv.1.0.bias_quantizer,weight,8,4.5263,2,,41.0,0.0
1,features.7.conv.1.0.act_quantizer,act,8,4.9683,2,"(0.0, None)",,
1,features.7.conv.2.weight_quantizer,weight,8,-1.0,8,,39.28,0.00033
1,features.7.conv.2.bias_quantizer,weight,8,4.9443,2,,43.33,0.0
1,features.7.conv.2.act_quantizer,act,8,4.8689,2,,,
1,features.8.conv.0.0.weight_quantizer,weight,8,-0.3871,7,,34.63,0.0
1,features.8.conv.0.0.bias_quantizer,weight,8,5.7829,1,,35.19,0.0
1,features.8.conv.0.0.act_quantizer,act,8,5.9396,1,"(0.0, None)",,
1,features.8.conv.1.0.weight_quantizer,weight,8,-0.0561,7,,38.78,0.0
1,features.8.conv.1.0.bias_quantizer,weight,8,4.791,2,,12.63,0.0026
1,features.8.conv.1.0.act_quantizer,act,8,4.3006,2,"(0.0, None)",,
1,features.8.conv.2.weight_quantizer,weight,8,0.1247,6,,28.1,0.0
1,features.8.conv.2.bias_quantizer,weight,8,3.8487,3,,40.31,0.0
1,features.8.conv.2.act_quantizer,act,8,4.7175,2,,,
1,features.9.conv.0.0.weight_quantizer,weight,8,-0.9796,7,,34.71,0.0
1,features.9.conv.0.0.bias_quantizer,weight,8,4.6043,2,,39.75,0.0
1,features.9.conv.0.0.act_quantizer,act,8,5.5879,1,"(0.0, None)",,
1,features.9.conv.1.0.weight_quantizer,weight,8,-0.1833,7,,38.63,0.0
1,features.9.conv.1.0.bias_quantizer,weight,8,4.9394,2,,35.03,0.0
1,features.9.conv.1.0.act_quantizer,act,8,4.1711,2,"(0.0, None)",,
1,features.9.conv.2.weight_quantizer,weight,8,-0.1474,7,,35.18,0.0
1,features.9.conv.2.bias_quantizer,weight,8,3.4471,3,,42.8,0.0
1,features.9.conv.2.act_quantizer,act,8,4.2319,2,,,
1,features.10.conv.0.0.weight_quantizer,weight,8,-0.3155,7,,34.77,0.0
1,features.10.conv.0.0.bias_quantizer,weight,8,5.066,1,,34.38,0.0
1,features.10.conv.0.0.act_quantizer,act,8,5.8401,1,"(0.0, None)",,
1,features.10.conv.1.0.weight_quantizer,weight,8,-0.0149,7,,38.74,0.0
